        Hhh     Fff     Ggg     Eee     Ddd     Ccc     Bbb     Aaa     Ooo     Jjj     
Hhh     0       1       1       0       0       0       0       1       0       1       
Fff     1       0       1       0       0       0       0       0       0       0       
Ggg     1       1       0       1       0       1       0       0       0       0       
Eee     0       0       1       0       1       0       0       1       0       0       
Ddd     0       0       0       1       0       0       0       0       1       1       
Ccc     0       0       1       0       0       0       1       0       0       1       
Bbb     0       0       0       0       0       1       0       1       0       1       
Aaa     1       0       0       1       0       0       1       0       0       1       
Ooo     0       0       0       0       1       0       0       0       0       1       
Jjj     1       0       0       0       1       1       1       1       1       0       
